Categoria,Série,Data de Início,Hora de Início,Data Final,Hora de Término,Valor,Unidade de Medida
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,12 out 2023,00:00,12 out 2023,23:59,81.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,13 out 2023,00:00,13 out 2023,23:59,82.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,14 out 2023,00:00,14 out 2023,23:59,81.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,16 out 2023,00:00,16 out 2023,23:59,80.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,17 out 2023,00:00,17 out 2023,23:59,80.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,18 out 2023,00:00,18 out 2023,23:59,81.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,19 out 2023,00:00,19 out 2023,23:59,80.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,20 out 2023,00:00,20 out 2023,23:59,80.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,21 out 2023,00:00,21 out 2023,23:59,80.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,22 out 2023,00:00,22 out 2023,23:59,81.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,23 out 2023,00:00,23 out 2023,23:59,81.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,24 out 2023,00:00,24 out 2023,23:59,82.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,25 out 2023,00:00,25 out 2023,23:59,82.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,26 out 2023,00:00,26 out 2023,23:59,82.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,27 out 2023,00:00,27 out 2023,23:59,80.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,28 out 2023,00:00,28 out 2023,23:59,75.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,30 out 2023,00:00,30 out 2023,23:59,56.5,C
